customer,start_date,price,quantity,billing_cycle_anchor,collection_method,proration_behavior,cancel_at_period_end,metadata_source,metadata_third_party_sub_id,metadata_user_id,metadata_plan_key
cus_UCEkpIE1kq3Rld,1776785895,price_1TDqRuB7gh8P2j571KsPlOB4,1,1776785895,charge_automatically,none,false,external:polar,d9baab7b-0cd2-439f-ae9f-576f1ed421bb,E9hfX6tC8NKVoPPoNdOjL1KhUylO8r6i,institutional
cus_UCEkWraeTy5nOK,1776644238,price_1TDqRuB7gh8P2j571KsPlOB4,1,1776644238,charge_automatically,none,false,external:polar,f13843e5-07ff-4ad4-ad50-33b7a2da5190,2cEEVmXrr3aCp5xvPBZDma8AFimtcNt6,institutional
cus_UCEk4ffUvAwOB2,1776568279,price_1TDqRuB7gh8P2j571KsPlOB4,1,1776568279,charge_automatically,none,false,external:polar,e93d0b7e-98a3-4aef-a7df-55384dedf9af,i4qphoHhXuvOlSeinEQCqdp5y4m1BVF4,institutional
cus_UCEkXekFxixgYa,1776563679,price_1TDqRuB7gh8P2j571KsPlOB4,1,1776563679,charge_automatically,none,false,external:polar,82dee4d5-bcc0-45ba-8e04-8e6cf0e7e897,LjmTemMiKsytgpeVV3Dv1Bb5QbJV7wsU,institutional
cus_UCEkDjIgM3IIEd,1776415908,price_1TDqRuB7gh8P2j571KsPlOB4,1,1776415908,charge_automatically,none,false,external:polar,dbd9cfb1-0eaa-4e39-ba65-91e5d9b9e268,fgp23cIEecd4yvwOMsghIqqb90Vr4IKy,institutional
cus_UCEk4NkNm1Dmls,1776355861,price_1TDqRuB7gh8P2j571KsPlOB4,1,1776355861,charge_automatically,none,false,external:polar,9e5b2ca8-3187-40ad-acbd-5fa215193d6a,f3pceMZwIVys6dFuULLLVlqVCDnfSRtc,institutional
cus_UCEkaLcbFzcsJD,1776182779,price_1TDqRlB7gh8P2j57Q1T2WaE6,1,1776182779,charge_automatically,none,false,external:polar,41749130-a003-4352-b850-6128e192c755,NuPe6UIFBSnIP1ewbvdhfDvS7gvmiEl3,professional
